ID,Latitude,Longitude,Primary Type
10816262,41.869561403,-87.743564382,PROSTITUTION
10816264,41.756431962,-87.62382744,NARCOTICS
10816265,41.869416211,-87.738293465,PROSTITUTION
10816266,41.86866942,-87.74301085,PROSTITUTION
10816269,41.863930074,-87.719452496,NARCOTICS
10816270,41.868617725,-87.743631799,PROSTITUTION
10816274,41.869090196,-87.73946034299999,PROSTITUTION
10816286,41.948331123,-87.64436603700001,BATTERY
10816290,41.76385743,-87.671073961,BATTERY
10816291,41.75089655,-87.62781330700001,THEFT
10816296,41.718249488000005,-87.57098234899999,WEAPONS VIOLATION
10816300,41.722768379,-87.624410361,DECEPTIVE PRACTICE
10816334,41.759794269000004,-87.641009607,OTHER OFFENSE
10816340,41.88486993,-87.763346223,BATTERY
10816342,41.911780113,-87.789981555,MOTOR VEHICLE THEFT
